페이지,상품명,상품설명,정가,할인가,할인율,배송유형,리뷰수,이미지URL,상품링크
5,[삼양] 불닭 떡볶이 오리지널 (2인분),화끈한 불닭의 재탄생,"7,200","6,800",5%,샛별배송,413,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/6b7cbdcc-f846-4e4a-832a-fb109ffb56e7.jpg,https://www.kurly.com/goods/1000818445
5,[조선호텔] 새우볶음밥 420g,고소한 감칠맛 가득,"7,900","7,347",7%,샛별배송,309,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000817132
5,[오뚜기] 가뿐한끼 곤약볶음밥 4종,가볍고 든든한 한 끼,정가 없음,"7,980",할인율 없음,샛별배송,112,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000817130
5,[삼양] 불닭 컵떡볶이 3종 (택1),떡에 쏙 밴 화끈한 매운맛,정가 없음,"3,500",할인율 없음,샛별배송,625,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000813255
5,[고래사] 어묵면 떡볶이,후루룩 즐기는 이색 면,"6,000","5,100",15%,샛별배송,938,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000813251
5,[시티델리] 간편 파스타&리조또 3종 (택2),맛과 간편함을 모두 잡은,정가 없음,"5,480",할인율 없음,샛별배송,888,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001095645
5,[온더고] 간편 미식 파스타 3종 (택2),간편하고 고급스러운 파스타,"5,980","5,140",14%,샛별배송,770,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001049335
5,[메디쏠라] 암케어 식단 도시락 9종 (택1),암환자의 영양 관리를 위한 맞춤형 영양식단,"10,900","9,810",10%,샛별배송,75,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000813560
5,[메디쏠라] 신장케어 식단 도시락 10종 (택1),신장질환자(투석) & 신장이식후환자용,"10,900","9,810",10%,샛별배송,153,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000813542
5,[메디쏠라] 당뇨케어 식단 도시락 10종 (택1),질환의 영양 관리를 위한 맞춤형 영양식단,"10,900","9,810",10%,샛별배송,122,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000813531
5,[어반다이닝] 사워크림 가스파초 with 먹물바게트,설명 없음,정가 없음,"9,900",할인율 없음,샛별배송,30,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000818979
5,[하니칼국수] 알곤이 칼국수,한 그릇 가득 푸짐한 알곤이,"9,500","8,075",15%,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000816001
5,[부침명장] 해물파전,해물이 콕콕 박혀 풍성한 식감,"9,200","7,360",20%,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000146000
5,[생어거스틴] 새우 듬뿍 팟타이 밀키트,집에서 만나는 현지의 맛,정가 없음,"16,900",할인율 없음,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5063682
5,[푸디버디] 한우 카레/짜장/불고기 덮밥소스 5개입 (택1),그대로 부어 먹는,"14,000","10,500",25%,샛별배송,164,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000780201
5,[푸디버디] 새콤달콤 미니 아란치니 토마토,촉촉한 토마토 라이스를 품은,"7,500","5,625",25%,샛별배송,179,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000780203
5,[플라하반] 포리지 오트밀 3종 (택1),다양한 방법으로 즐기는 오트밀,정가 없음,"7,480",할인율 없음,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000335507
