페이지,상품명,상품설명,정가,할인가,할인율,배송유형,리뷰수,이미지URL,상품링크
14,[메이티엔] 대만 샌드위치 3종 (4개입),부드럽고 달콤한 샌드위치,"9,900","8,900",10%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000052835
14,[하코야] 문어쏙쏙 타코야키 2입,"소스, 가쓰오부시까지 알찬 구성","9,900","7,920",20%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000044029
14,[집으로 ON] 어린이 볶음밥 3종 (5개입) (택1),재료를 곱게 손질해 부드러운 식감,정가 없음,"14,950",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000065844
14,[라이틀리] 곤약 볶음밥 7종(6개입) (택1),가볍지만 알차게 즐기는 볶음밥,"15,900","13,500",15%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000065853
14,[푸드렐라] 석쇠닭갈비,쫄깃한 닭다리살에 불맛을 입힌 직화 닭갈비,"9,900","8,910",10%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5027013
14,[조선호텔] 꿔바로우 450g,쫀득함이 남다른 등심 꿔바로우,"9,800","8,428",14%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000052927
14,[스윗밸런스] 샐러드랩 샌드위치 7종 (택1),간편하게 챙기는 건강한 한 끼,정가 없음,"4,300",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000071994
14,[석관동 떡볶이] 오리지널 떡볶이 1봉/2봉(택1),자꾸 생각나는 매콤 달콤함,"12,000","10,200",15%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000102474
14,[금미옥] 김말이 700g,깻잎의 향긋함이 더해진,정가 없음,"6,800",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000115239
14,[11시 45분] 톳두부 비건 곤약김밥 (2개입),담백하고 부담 없는 한 끼 식사,정가 없음,"8,500",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000093648
14,[11시 45분] 우엉유부 비건 곤약김밥 (2개입),씹을수록 짭조름하고 고소한 맛,정가 없음,"8,900",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000093642
14,[11시 45분] 일품잡채 비건 곤약김밥 (2개입),곤약밥에 잡채를 푸짐하게 채워 완성,정가 없음,"8,500",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000093644
14,[남향푸드또띠아] 간편 브리또 15종 2개입 (택1),가볍고 든든한 멕시칸 푸드,"6,600","5,280",20%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/dd1c0a05-ca1a-4c21-a712-54338f3dbbf2.jpg,https://www.kurly.com/goods/1000127954
14,[마이비밀] 라이킷 식단관리 도시락 8종,한 팩으로 해결하는 식단 관리 (최소구매수량 2개),"4,800","3,840",20%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/5e8f6b25-0ef9-4eac-88e8-a9b6dc12e82a.jpg,https://www.kurly.com/goods/1000134705
14,[에머이] 소고기 쌀국수 키트 (2인분),간편하게 즐기는 현지의 맛,"12,500","10,000",20%,샛별배송,"9,999+",https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/163792233013l0.jpg,https://www.kurly.com/goods/5073094
14,[고메] 소바바치킨 소이허니 3종 (택1),부위 별로 고르는 달콤 짭짤한 치킨,"8,980","7,980",11%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/c240becd-75f6-46ea-b75e-8ce815c7d402.jpg,https://www.kurly.com/goods/1000157446
14,닭가슴살 곤약볶음밥 3종 (4개입) 택1,부담 없이 즐기는 별미 볶음밥,"10,100","9,090",10%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/295ff79f-ecc1-4689-b55f-01fe8de5bd26.jpg,https://www.kurly.com/goods/1000149207
14,[치엔바오] 대만 샌드위치 3종 (2번들),"부드럽게 즐기는 달콤한 간식 (1개당 판매가 : 2,250)","4,500","3,825",15%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/b3b345e4-c283-4662-a0c7-3dc6285f6713.jpg,https://www.kurly.com/goods/1000034710
14,[2개 사면 24%][우주인피자] 인기 피자 2종 (택1),베스트 마르게리따 & 허니 고르곤졸라 피자,"11,900","9,044",24%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/65858028-90b8-4daa-8c3d-8d22afd65146.jpg,https://www.kurly.com/goods/1000048245
14,[99핫도그] 크리스피 핫도그 800g(80gX10개입) 2종 (택1),"맛과 품질, 가격까지 갖춘 핫도그",정가 없음,"9,900",할인율 없음,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/19293180-6537-4922-b54e-42a036c9b987.jpg,https://www.kurly.com/goods/1000170826
14,[금미옥] 쌀 떡볶이 (2개입),학교 앞 분식집에서 먹던 그 맛,정가 없음,"11,500",할인율 없음,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/308ef5b2-aaad-46a5-a1ae-97777de499a8.jpg,https://www.kurly.com/goods/1000165319
14,[햇반/쿡반] 노릇노릇 볶음밥 2개입 8종 (택1),CJ 인기 스팸김치볶음밥부터 곤드레나물밥까지,"6,580","4,980",24%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/4a481ead-1875-43af-b732-384b58553ba9.jpg,https://www.kurly.com/goods/1000184373
14,[금미옥] 국물 떡볶이 (2개입),달큰한 추억의 맛이 새록새록,정가 없음,"11,500",할인율 없음,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/c4db24c3-0724-4c57-abf7-e05d31436c7f.jpg,https://www.kurly.com/goods/1000165317
15,[서울마님] 간편 떡구이 (2개입/4개입) 6종 (택1),풍성하게 돌아온 알찬 떡 구이,정가 없음,"4,980",할인율 없음,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/bb7c0597-70d1-4335-b0dc-a6de15247f71.jpeg?v=0531,https://www.kurly.com/goods/1000185399
